month,date,deposit,contributed,wheel_profit,wheel_cumulative,wheel_return,floor_profit,floor_cumulative,floor_return,dca_profit,dca_cumulative,dca_return
2022-01,2022-01-31,0.0,100000.0,-1355.3285704262962,-1355.3285704262962,-0.013553285704263285,-1355.3285704262962,-1355.3285704262962,-0.013553285704263285,-5812.287448730465,-5812.287448730465,-0.05812287448730469
2022-02,2022-02-28,1000.0,101000.0,-655.4353244843369,-2010.763894910633,-0.0065435233484890665,-675.7763349542802,-2031.1049053805764,-0.006747665832946392,-2808.1797595214884,-8620.467208251954,-0.029433175848579074
2022-03,2022-03-31,1000.0,102000.0,1136.56945297106,-874.1944419395732,0.011302910444452863,1855.0883709148766,-176.0165344656998,0.018491790651552487,3501.370067871103,-5119.097140380851,0.03732478461385025
2022-04,2022-04-29,1000.0,103000.0,-1798.2350229504082,-2672.4294648899813,-0.017607021144991575,-3405.6153627125896,-3581.6318971782894,-0.03311304641616741,-8566.11316040039,-13685.21030078124,-0.08748951464609456
2022-05,2022-05-31,1000.0,104000.0,-279.36739648567163,-2951.796861375653,-0.0027370229615862884,130.5638636249496,-3451.06803355334,0.0013225313002056538,197.75838134766673,-13487.451919433573,0.0022558159181951254
2022-06,2022-06-30,1000.0,105000.0,-2429.181252745373,-5380.978114121026,-0.023818092692989512,-3358.801348520632,-6809.869382073972,-0.03310553766677771,-7495.99839599611,-20983.450315429684,-0.0819936004292322
2022-07,2022-07-29,1000.0,106000.0,3277.766038001326,-2103.2120761197,0.0326081805730849,3484.8891502489714,-3324.9802318250004,0.035175109889048484,7735.017851562501,-13248.432463867182,0.09111519469007257
2022-08,2022-08-31,1000.0,107000.0,63.98361957783345,-2039.2284565418668,0.0006099673864590205,-1660.155779792738,-4985.136011617738,-0.016024363882312986,-3795.4294445800624,-17043.861908447245,-0.04051401501373131
2022-09,2022-09-30,1000.0,108000.0,-2694.8356136076036,-4734.06407014947,-0.025417126767103504,-3635.590192163276,-8620.726203781014,-0.035280528957902235,-8302.612041503919,-25346.473949951163,-0.09125046574783768
2022-10,2022-10-31,1000.0,109000.0,2336.1240422541887,-2397.9400278952817,0.022494217494206215,2908.152835545916,-5712.573368235098,0.029068010577319114,6677.6097399902355,-18668.864209960928,0.08015196668589541
2022-11,2022-11-30,1000.0,110000.0,842.565549517356,-1555.3744783779257,0.007828038653157954,2147.9506145958294,-3564.622753639269,0.02058042515778946,5005.870289306651,-13662.993920654277,0.054759987296735035
2022-12,2022-12-30,1000.0,111000.0,249.50429065224307,-1305.8701877256826,0.002281586863067009,-2339.715848157386,-5904.338601796655,-0.02178016777541547,-5537.814036621101,-19200.807957275378,-0.05690024087572454
2023-01,2023-01-31,1000.0,112000.0,462.8254087612586,-843.044778964424,0.004182503725896014,2401.396234061918,-3502.9423677347368,0.02261946646899915,5727.104328613277,-13473.7036286621,0.06166747218416346
2023-02,2023-02-28,1000.0,113000.0,191.59888125694124,-651.4458977074828,0.0017163360037326658,-1013.5598829853552,-4516.502250720092,-0.009220781914910714,-2476.010224609374,-15949.713853271474,-0.02477675679319913
2023-03,2023-03-31,1000.0,114000.0,535.1182164118509,-116.32768129563192,0.004718871400281932,1488.978699236919,-3027.523551483173,0.013587038657307815,3559.569225585932,-12390.144627685542,0.03626346096367494
2023-04,2023-04-28,1000.0,115000.0,442.31202753219986,325.98434623656794,0.0038500860792920477,658.5962234626204,-2368.9273280205525,0.005894439380474958,1604.124602050797,-10786.020025634745,0.01567002906284931
2023-05,2023-05-31,1000.0,116000.0,396.2208214517159,722.2051676882838,0.0034073696884349136,205.809096365163,-2163.1182316553895,0.00180859470278949,476.9832958984189,-10309.036729736326,0.00452398291793199
2023-06,2023-06-30,1000.0,117000.0,319.1835090216773,1041.3886767099611,0.0027135540219227483,2721.618910285353,558.5006786299637,0.023730849079430127,6782.126157958992,-3526.9105717773346,0.06365996414940378
2023-07,2023-07-31,1000.0,118000.0,194.38624582799093,1235.774922537952,0.0016340924468003504,1420.9049562444561,1979.4056348744198,0.01198861725607303,3669.992451171871,143.08187939453637,0.03207002873478415
2023-08,2023-08-31,1000.0,119000.0,598.5416140086309,1834.316536546583,0.004976883974897595,-559.0105809861561,1420.3950538882636,-0.00462714647409479,-1894.6006274414103,-1751.518748046874,-0.015925131179866714
2023-09,2023-09-29,1000.0,120000.0,-1590.3515432605054,243.96499328607752,-0.013048638810204127,-1974.068058469522,-553.6730045812583,-0.01625218020560104,-5472.457737792967,-7223.976485839841,-0.0462646002537529
2023-10,2023-10-31,1000.0,121000.0,-719.6462281390995,-475.68123485302203,-0.005934449563074429,-869.5678405276121,-1423.2408451088704,-0.007220350549128174,-2412.3196423339687,-9636.29612817381,-0.021205691631407397
2023-11,2023-11-30,1000.0,122000.0,1655.4959600282746,1179.8147251752525,0.01364867188615193,3768.0745882979827,2344.8337431891123,0.031282310630782906,9999.455219726544,363.159091552734,0.08909174591691071
2023-12,2023-12-29,1000.0,123000.0,462.36331733675615,1642.1780425120087,0.0037317826130269793,1481.7262012159044,3826.5599444050167,0.011833590712130304,5490.004942382817,5853.164033935551,0.044551459622190315
