date,spot,deposit,contributed,wheel_equity,wheel_net_pnl,wheel_cash,wheel_shares,wheel_twr,wheel_drawdown,floor_equity,floor_net_pnl,floor_cash,floor_shares,floor_twr,floor_drawdown,dca_equity,dca_net_pnl,dca_cash,dca_shares,dca_twr,dca_drawdown,wheel_option_liability,wheel_collateral,wheel_state,wheel_premiums,wheel_stock_realized,wheel_stock_unrealized,wheel_dividends,wheel_interest,floor_option_liability,floor_collateral,floor_state,floor_premiums,floor_stock_realized,floor_stock_unrealized,floor_dividends,floor_interest,dca_dividends,dca_bought
2023-01-03,380.8200073242188,0.0,100000,100000.0,0.0,100000.0,0,0.0,0.0,100000.0,0.0,100000.0,0,0.0,0.0,99999.79,-0.21000000000640284,92002.5698461914,21,-2.100000000115898e-06,-2.100000000115898e-06,0.0,0.0,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,0.0,0.0,21
2023-01-04,383.760009765625,0.0,100000,99954.85314843751,-45.14685156248743,100411.57008984362,0,-0.00045146851562483103,-0.00045146851562483103,99954.85314843751,-45.14685156248743,100411.57008984362,0,-0.00045146851562483103,-0.00045146851562483103,100061.53005126952,61.53005126952485,92002.5698461914,21,0.0006153005126952049,0.0,456.71694140610714,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,456.71694140610714,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-05,379.3800048828125,0.0,100000,99867.64024017767,-132.35975982232776,100411.57008984362,0,-0.001323597598223314,-0.001323597598223314,99867.64024017767,-132.35975982232776,100411.57008984362,0,-0.001323597598223314,-0.001323597598223314,99969.54994873046,-30.450051269537653,92002.5698461914,21,-0.0003045005126953715,-0.0009192354193657826,543.9298496659435,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,543.9298496659435,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-06,388.0799865722656,0.0,100000,100105.86352335858,105.863523358581,100411.57008984362,0,0.0010586352335857363,0.0,100105.86352335858,105.863523358581,100411.57008984362,0,0.0010586352335857363,0.0,100152.24956420898,152.24956420897797,92002.5698461914,21,0.0015224956420898383,0.0,305.70656648503075,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,305.70656648503075,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-09,387.8599853515625,0.0,100000,100178.4410395994,178.44103959940549,100411.57008984362,0,0.001784410395994085,0.0,100178.4410395994,178.44103959940549,100411.57008984362,0,0.001784410395994085,0.0,100147.62953857421,147.62953857421235,92002.5698461914,21,0.0014762953857421213,-4.613002358788698e-05,233.12905024421218,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,233.12905024421218,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-10,390.5799865722656,0.0,100000,100216.1493798281,216.1493798281008,100411.57008984362,0,0.0021614937982812332,0.0,100216.1493798281,216.1493798281008,100411.57008984362,0,0.0021614937982812332,0.0,100204.74956420898,204.74956420897797,92002.5698461914,21,0.002047495642089725,0.0,195.42071001551793,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,195.42071001551793,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-11,395.5199890136719,0.0,100000,100318.834132939,318.834132938995,100411.57008984362,0,0.003188341329390054,0.0,100318.834132939,318.834132938995,100411.57008984362,0,0.003188341329390054,0.0,100308.48961547851,308.4896154785092,92002.5698461914,21,0.003084896154785133,0.0,92.73595690462443,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,92.73595690462443,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-12,396.9599914550781,0.0,100000,100330.93940215949,330.9394021594926,100411.57008984362,0,0.0033093940215949136,0.0,100330.93940215949,330.9394021594926,100411.57008984362,0,0.0033093940215949136,0.0,100338.72966674804,338.7296667480405,92002.5698461914,21,0.0033872966674803884,0.0,80.63068768412757,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,80.63068768412757,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-13,398.5,0.0,100000,100375.01174563798,375.0117456379812,100411.57008984362,0,0.0037501174563798756,0.0,100375.01174563798,375.0117456379812,100411.57008984362,0,0.0037501174563798756,0.0,100371.0698461914,371.06984619139985,92002.5698461914,21,0.003710698461913964,0.0,36.55834420563899,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,36.55834420563899,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
2023-01-17,397.7699890136719,0.0,100000,100383.25324170556,383.2532417055627,100411.57008984362,0,0.003832532417055612,0.0,100383.25324170556,383.2532417055627,100411.57008984362,0,0.003832532417055612,0.0,100355.73961547851,355.7396154785092,92002.5698461914,21,0.0035573961547850086,-0.00015273555155270735,28.316848138061033,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,28.316848138061033,37000.0,SHORT_PUT,411.57008984362085,0.0,0.0,0.0,0.0,0.0,0
