date,spot,deposit,contributed,wheel_equity,wheel_net_pnl,wheel_cash,wheel_shares,wheel_twr,wheel_drawdown,floor_equity,floor_net_pnl,floor_cash,floor_shares,floor_twr,floor_drawdown,dca_equity,dca_net_pnl,dca_cash,dca_shares,dca_twr,dca_drawdown,wheel_option_liability,wheel_collateral,wheel_state,wheel_premiums,wheel_stock_realized,wheel_stock_unrealized,wheel_dividends,wheel_interest,floor_option_liability,floor_collateral,floor_state,floor_premiums,floor_stock_realized,floor_stock_unrealized,floor_dividends,floor_interest,dca_dividends,dca_bought
2022-01-03,477.7099914550781,0.0,100000.0,100000.0,0.0,100000.0,0,0.0,0.0,100000.0,0.0,100000.0,0,0.0,0.0,99997.91,-2.0899999999965075,156.52178588867537,209,-2.089999999999037e-05,-2.089999999999037e-05,0.0,0.0,CASH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CASH,0.0,0.0,0.0,0.0,0.0,0.0,209
2022-01-04,477.5499877929688,0.0,100000.0,99955.89340086399,-44.1065991360083,100401.68769179203,0,-0.00044106599136006785,-0.00044106599136006785,99955.89340086399,-44.1065991360083,100401.68769179203,0,-0.00044106599136006785,-0.00044106599136006785,99964.46923461916,-35.53076538084133,156.52178588867537,209,-0.0003553076538084232,-0.0003553076538084232,445.79429092803366,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,445.79429092803366,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-05,468.3800048828125,0.0,100000.0,99606.99253374893,-393.0074662510742,100401.68769179203,0,-0.003930074662510719,-0.003930074662510719,99606.99253374893,-393.0074662510742,100401.68769179203,0,-0.003930074662510719,-0.003930074662510719,98047.94280639649,-1952.0571936035121,156.52178588867537,209,-0.01952057193603518,-0.01952057193603518,794.6951580431116,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,794.6951580431116,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-06,467.9400024414063,0.0,100000.0,99446.65282974142,-553.3471702585812,100401.68769179203,0,-0.005533471702585779,-0.005533471702585779,99446.65282974142,-553.3471702585812,100401.68769179203,0,-0.005533471702585779,-0.005533471702585779,97955.9822961426,-2044.0177038574038,156.52178588867537,209,-0.020440177038574037,-0.020440177038574037,955.034862050617,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,955.034862050617,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-07,466.0899963378906,0.0,100000.0,99380.82495336882,-619.1750466311787,100401.68769179203,0,-0.006191750466311818,-0.006191750466311818,99380.82495336882,-619.1750466311787,100401.68769179203,0,-0.006191750466311818,-0.006191750466311818,97569.33102050782,-2430.668979492184,156.52178588867537,209,-0.0243066897949219,-0.0243066897949219,1020.862738423208,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,1020.862738423208,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-10,465.510009765625,0.0,100000.0,99449.25725463562,-550.7427453643759,100401.68769179203,0,-0.005507427453643743,-0.005507427453643743,99449.25725463562,-550.7427453643759,100401.68769179203,0,-0.005507427453643743,-0.005507427453643743,97448.1138269043,-2551.8861730956996,156.52178588867537,209,-0.025518861730957076,-0.025518861730957076,952.4304371564089,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,952.4304371564089,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-11,469.75,0.0,100000.0,99636.83263109064,-363.16736890935863,100401.68769179203,0,-0.003631673689093673,-0.003631673689093673,99636.83263109064,-363.16736890935863,100401.68769179203,0,-0.003631673689093673,-0.003631673689093673,98334.27178588868,-1665.7282141113246,156.52178588867537,209,-0.016657282141113394,-0.016657282141113394,764.8550607013881,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,764.8550607013881,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-12,471.0199890136719,0.0,100000.0,99757.26084189716,-242.73915810283506,100401.68769179203,0,-0.0024273915810285596,-0.0024273915810285596,99757.26084189716,-242.73915810283506,100401.68769179203,0,-0.0024273915810285596,-0.0024273915810285596,98599.6994897461,-1400.3005102539028,156.52178588867537,209,-0.014003005102539157,-0.014003005102539157,644.4268498948614,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,644.4268498948614,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-13,464.5299987792969,0.0,100000.0,99507.95925168633,-492.040748313666,100401.68769179203,0,-0.004920407483136935,-0.004920407483136935,99507.95925168633,-492.040748313666,100401.68769179203,0,-0.004920407483136935,-0.004920407483136935,97243.29153076172,-2756.7084692382778,156.52178588867537,209,-0.027567084692382893,-0.027567084692382893,893.7284401056918,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,893.7284401056918,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-14,464.7200012207031,0.0,100000.0,99410.41944087941,-589.5805591205863,100401.68769179203,0,-0.005895805591206171,-0.005895805591206171,99410.41944087941,-589.5805591205863,100401.68769179203,0,-0.005895805591206171,-0.005895805591206171,97283.00204101563,-2716.9979589843715,156.52178588867537,209,-0.027169979589843796,-0.027169979589843796,991.2682509126201,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,991.2682509126201,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-18,456.489990234375,0.0,100000.0,99033.9399259165,-966.0600740835071,100401.68769179203,0,-0.009660600740835301,-0.009660600740835301,99033.9399259165,-966.0600740835071,100401.68769179203,0,-0.009660600740835301,-0.009660600740835301,95562.92974487305,-4437.07025512695,156.52178588867537,209,-0.044370702551269625,-0.044370702551269625,1367.7477658755345,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,1367.7477658755345,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-19,451.75,0.0,100000.0,98577.86937818369,-1422.1306218163081,100401.68769179203,0,-0.01422130621816331,-0.01422130621816331,98577.86937818369,-1422.1306218163081,100401.68769179203,0,-0.01422130621816331,-0.01422130621816331,94572.27178588868,-5427.728214111325,156.52178588867537,209,-0.05427728214111338,-0.05427728214111338,1823.8183136083458,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,1823.8183136083458,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-20,446.75,0.0,100000.0,98165.42542578335,-1834.5745742166473,100401.68769179203,0,-0.01834574574216663,-0.01834574574216663,98165.42542578335,-1834.5745742166473,100401.68769179203,0,-0.01834574574216663,-0.01834574574216663,93527.27178588868,-6472.728214111325,156.52178588867537,209,-0.06472728214111334,-0.06472728214111334,2236.2622660086818,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,2236.2622660086818,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-21,437.9800109863281,0.0,100000.0,97366.53455786093,-2633.4654421390733,100401.68769179203,0,-0.026334654421390824,-0.026334654421390824,97366.53455786093,-2633.4654421390733,100401.68769179203,0,-0.026334654421390824,-0.026334654421390824,91694.34408203125,-8305.655917968747,156.52178588867537,209,-0.08305655917968757,-0.08305655917968757,3035.1531339311105,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,3035.1531339311105,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-24,439.8399963378906,0.0,100000.0,97531.23188731883,-2468.768112681166,100401.68769179203,0,-0.024687681126811856,-0.024687681126811856,97531.23188731883,-2468.768112681166,100401.68769179203,0,-0.024687681126811856,-0.024687681126811856,92083.08102050782,-7916.918979492184,156.52178588867537,209,-0.07916918979492193,-0.07916918979492193,2870.4558044731903,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,2870.4558044731903,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-25,434.4700012207031,0.0,100000.0,97030.49004393899,-2969.5099560610106,100401.68769179203,0,-0.02969509956061034,-0.02969509956061034,97030.49004393899,-2969.5099560610106,100401.68769179203,0,-0.02969509956061034,-0.02969509956061034,90960.75204101563,-9039.247958984372,156.52178588867537,209,-0.09039247958984375,-0.09039247958984375,3371.197647853046,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,3371.197647853046,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-26,433.3800048828125,0.0,100000.0,96926.39878533487,-3073.6012146651337,100401.68769179203,0,-0.03073601214665156,-0.03073601214665156,96926.39878533487,-3073.6012146651337,100401.68769179203,0,-0.03073601214665156,-0.03073601214665156,90732.94280639649,-9267.057193603512,156.52178588867537,209,-0.09267057193603512,-0.09267057193603512,3475.288906457164,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,3475.288906457164,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-27,431.239990234375,0.0,100000.0,96722.85276394107,-3277.147236058925,100401.68769179203,0,-0.032771472360589526,-0.032771472360589526,96722.85276394107,-3277.147236058925,100401.68769179203,0,-0.032771472360589526,-0.032771472360589526,90285.67974487305,-9714.32025512695,156.52178588867537,209,-0.09714320255126951,-0.09714320255126951,3678.834927850951,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,3678.834927850951,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-28,441.9500122070313,0.0,100000.0,97790.49958541204,-2209.5004145879648,100401.68769179203,0,-0.02209500414587995,-0.02209500414587995,97790.49958541204,-2209.5004145879648,100401.68769179203,0,-0.02209500414587995,-0.02209500414587995,92524.07433715822,-7475.925662841779,156.52178588867537,209,-0.07475925662841787,-0.07475925662841787,2611.1881063799915,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,2611.1881063799915,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-01-31,449.9100036621094,0.0,100000.0,98644.6714295737,-1355.3285704262962,100401.68769179203,0,-0.013553285704263285,-0.013553285704263285,98644.6714295737,-1355.3285704262962,100401.68769179203,0,-0.013553285704263285,-0.013553285704263285,94187.71255126953,-5812.287448730465,156.52178588867537,209,-0.05812287448730469,-0.05812287448730469,1757.0162622183273,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,1757.0162622183273,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
2022-02-01,452.9500122070313,1000.0,101000.0,99984.24065223368,-1015.7593477663177,101401.68769179203,0,-0.010157593477663429,-0.010157593477663429,99984.24065223368,-1015.7593477663177,101401.68769179203,0,-0.010157593477663429,-0.010157593477663429,95823.05433715822,-5176.945662841783,250.60176147461277,211,-0.05176945662841781,-0.05176945662841781,1417.4470395583419,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,1417.4470395583419,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,2
2022-02-02,457.3500061035156,0.0,101000.0,100448.9136337906,-551.0863662094052,101401.68769179203,0,-0.005557338284347457,-0.005557338284347457,100448.9136337906,-551.0863662094052,101401.68769179203,0,-0.005557338284347457,-0.005557338284347457,96751.4530493164,-4248.546950683594,250.60176147461277,211,-0.04258235628617946,-0.04258235628617946,952.7740580014429,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,952.7740580014429,46600.0,SHORT_PUT,401.68769179203053,0.0,0.0,0.0,0.0,0.0,0
