month,date,deposit,contributed,wheel_profit,wheel_cumulative,wheel_return,floor_profit,floor_cumulative,floor_return,dca_profit,dca_cumulative,dca_return
2022-01,2022-01-31,0.0,100000.0,-1355.3285704262962,-1355.3285704262962,-0.013553285704263285,-1355.3285704262962,-1355.3285704262962,-0.013553285704263285,-472.769792480467,-472.769792480467,-0.0047276979248048745
2022-02,2022-02-28,0.0,100000.0,-655.4353244843369,-2010.763894910633,-0.006644406788381296,-675.7763349542802,-2031.1049053805764,-0.006850611646435301,-519.7001110839919,-992.469903564459,-0.005221687672814834
2022-03,2022-03-31,0.0,100000.0,1136.56945297106,-874.1944419395732,0.011598921454516908,1855.0883709148766,-176.0165344656998,0.018935483238054385,1033.48041503907,41.01051147461112,0.0104384021501438
2022-04,2022-04-29,0.0,100000.0,-1798.2350229504082,-2672.4294648899813,-0.01814093729505295,-3405.6153627125896,-3581.6318971782894,-0.034116203786722754,-2916.941047363289,-2875.9305358886777,-0.029157452853084687
2022-05,2022-05-31,0.0,100000.0,-279.36739648567163,-2951.796861375653,-0.002870382923869319,130.5638636249496,-3451.06803355334,0.0013541389072850851,36.68909912111121,-2839.2414367675665,0.0003777549614998321
2022-06,2022-06-30,0.0,100000.0,-2429.181252745373,-5380.978114121026,-0.02503066696943912,-3358.801348520632,-6809.869382073972,-0.034788591443848604,-3817.8112419433746,-6657.052678710941,-0.03929375705170868
2022-07,2022-07-29,0.0,100000.0,3277.766038001326,-2103.2120761197,0.034641723964919935,3484.8891502489714,-3324.9802318250004,0.03739547446860936,4636.638886718749,-2020.4137919921923,0.04967315710269293
2022-08,2022-08-31,0.0,100000.0,63.98361957783345,-2039.2284565418668,0.0006535824201665541,-1660.155779792738,-4985.136011617738,-0.01717254140494362,-2598.1595947265596,-4618.573386718752,-0.0265173562706289
2022-09,2022-09-30,0.0,100000.0,-2694.8356136076036,-4734.06407014947,-0.027509334309521516,-3635.590192163276,-8620.726203781014,-0.038263383638667325,-6469.758435791009,-11088.331822509761,-0.06783038024816179
2022-10,2022-10-31,0.0,100000.0,2336.1240422541887,-2397.9400278952817,0.024522133955356518,2908.152835545916,-5712.573368235098,0.03182508149529917,5588.879924316396,-5499.451898193365,0.06285879051509413
2022-11,2022-11-30,0.0,100000.0,842.565549517356,-1555.3744783779257,0.008632661541755793,2147.9506145958294,-3564.622753639269,0.022780880668050507,4780.150321044945,-719.3015771484206,0.05058330789674592
2022-12,2022-12-30,0.0,100000.0,249.50429065224307,-1305.8701877256826,0.0025344633018840046,-2339.7158481574006,-5904.3386017966695,-0.024262007522200202,-5673.408256347655,-6392.709833496076,-0.05714512837312802
2023-01,2023-01-31,0.0,100000.0,462.8254087612586,-843.044778964424,0.004689492775726389,2401.396234061933,-3502.9423677347368,0.025520796584865613,5820.104431152329,-572.6054023437464,0.06217576025114946
2023-02,2023-02-28,0.0,100000.0,191.59888125694124,-651.4458977074828,0.001932278788006725,-1013.5598829853552,-4516.502250720092,-0.010503531484326367,-2473.2402954101562,-3045.8456977539026,-0.024874837618127477
2023-03,2023-03-31,0.0,100000.0,535.1182164118509,-116.32768129563192,0.005386270804312421,1488.978699236919,-3027.523551483173,0.01559409462718575,3541.913181640615,496.0674838867126,0.03653183514549552
2023-04,2023-04-28,0.0,100000.0,442.31202753219986,325.98434623656794,0.00442827158097403,658.5962234626204,-2368.9273280205525,0.006791578884883798,1582.674682617202,2078.7421665039146,0.015748623028169595
2023-05,2023-05-31,0.0,100000.0,396.2208214517159,722.2051676882838,0.003949334003883642,205.809096365163,-2163.1182316553895,0.002108028629949077,464.6432495117042,2543.385416015619,0.004551812058516624
2023-06,2023-06-30,0.0,100000.0,319.1835090216773,1041.3886767099611,0.0031689487783779224,2721.6189102853386,558.5006786299491,0.02781792368167957,6550.45422753907,9093.83964355469,0.06387983194590396
2023-07,2023-07-31,0.0,100000.0,194.38624582799093,1235.774922537952,0.0019238279320357154,1420.9049562444561,1979.4056348744052,0.014130132675560514,3511.42236328125,12605.26200683594,0.03218717367318047
2023-08,2023-08-31,0.0,100000.0,598.5416140086309,1834.316536546583,0.005912352767256435,-559.0105809861561,1420.395053888249,-0.005481602657968487,-1800.4805908203125,10804.781416015627,-0.015989311322867072
2023-09,2023-09-29,0.0,100000.0,-1590.35154326052,243.96499328606296,-0.015617049314509024,-1974.068058469522,-553.6730045812728,-0.01946421188184677,-5151.452818359379,5653.328597656247,-0.04649125021977407
2023-10,2023-10-31,0.0,100000.0,-719.646228139085,-475.68123485302203,-0.007178948160991849,-869.5678405275976,-1423.2408451088704,-0.008744092082633603,-2245.759704589829,3407.5688930664182,-0.021255929504521043
2023-11,2023-11-30,0.0,100000.0,1655.4959600282746,1179.8147251752525,0.016634084820364103,3768.0745882979827,2344.8337431891123,0.038224776515296544,9244.395568847642,12651.96446191406,0.08939766854404252
2023-12,2023-12-29,0.0,100000.0,462.36331733675615,1642.1780425120087,0.00456971895622349,1481.7262012159044,3826.5599444050167,0.014477782092390923,5037.472886230476,17689.437348144536,0.04471713307701397
