month,date,deposit,contributed,wheel_profit,wheel_cumulative,wheel_return,floor_profit,floor_cumulative,floor_return,dca_profit,dca_cumulative,dca_return
2018-01,2018-01-31,0.0,100000.0,88.20286828214012,88.20286828214012,0.0008820286828212787,88.20286828214012,88.20286828214012,0.0008820286828212787,406.7201513671898,406.7201513671898,0.00406720151367157
2018-02,2018-02-28,0.0,100000.0,614.6376464124623,702.8405146946025,0.006140959961298931,614.6376464124623,702.8405146946025,0.006140959961298931,-606.0097875976498,-199.28963623046002,-0.006035550077564622
2018-03,2018-03-29,0.0,100000.0,-859.1308077978028,-156.29029310320038,-0.008531346319595068,-859.1308077978028,-156.29029310320038,-0.008531346319595068,-551.533567626946,-750.823203857406,-0.0055263491173220824
2018-04,2018-04-30,0.0,100000.0,578.9261180690228,422.6358249658224,0.005798323397322891,578.9261180690228,422.6358249658224,0.005798323397322891,355.751726074217,-395.07147778318904,0.0035844299928546874
2018-05,2018-05-31,0.0,100000.0,743.1718620876054,1165.8076870534278,0.007400441703033334,743.1718620876054,1165.8076870534278,0.007400441703033334,981.7688269042992,586.6973491211102,0.009856628998888617
2018-06,2018-06-29,0.0,100000.0,288.00781194244337,1453.8154989958712,0.002846888870134734,288.00781194244337,1453.8154989958712,0.002846888870134734,212.22520532227645,798.9225544433866,0.0021098734814368747
2018-07,2018-07-31,0.0,100000.0,846.351044072333,2300.166543068204,0.008342229810773816,846.351044072333,2300.166543068204,0.008342229810773816,2153.0977661132783,2952.020320556665,0.02136032520536446
2018-08,2018-08-31,0.0,100000.0,213.42422635483672,2513.590769423041,0.002086254925742992,213.42422635483672,2513.590769423041,0.002086254925742992,2222.882739257795,5174.90305981446,0.021591443590291526
2018-09,2018-09-28,0.0,100000.0,203.82234061486088,2717.413110037902,0.0019882470127625673,203.82234061486088,2717.413110037902,0.0019882470127625673,490.78600708009617,5665.689066894556,0.00466637945747328
2018-10,2018-10-31,0.0,100000.0,-958.1444504403771,1759.2686595975247,-0.009327965156345042,-958.1444504403771,1759.2686595975247,-0.009327965156345042,-6115.829163818358,-450.14009692380205,-0.057879044918228706
2018-11,2018-11-30,0.0,100000.0,706.6989959691709,2465.9676555666956,0.0069448120576935946,709.8371757350978,2469.1058353326225,0.0069756513100509565,1587.086179199221,1136.946082275419,0.015942625943868638
2018-12,2018-12-31,0.0,100000.0,-2045.2110024560097,420.7566531106859,-0.01995990521780755,-2201.7171896817745,267.38864565084805,-0.021486643918020354,-8925.223272094721,-7788.277189819302,-0.08824889041868078
2019-01,2019-01-31,0.0,100000.0,1901.0244375290058,2321.7810906396917,0.018930592647253386,2012.2957336775726,2279.6843793284206,0.020069294322495157,7283.368005981436,-504.9091838378663,0.07898527198081284
2019-02,2019-02-28,0.0,100000.0,32.74030402956123,2354.521394669253,0.00031997394572913507,994.6248379261087,3274.3092172545294,0.009724559123953647,3185.0,2680.0908161621337,0.03201162965803972
2019-03,2019-03-29,0.0,100000.0,263.78500201547286,2618.3063966847258,0.002577170001101914,708.9677588131744,3983.276976067704,0.006864899549429593,1832.0186650390679,4512.109481201202,0.017842004720457938
2019-04,2019-04-30,0.0,100000.0,184.11751760602056,2802.4239142907463,0.001794197585899715,1126.384752154947,5109.661728222651,0.010832364442738385,4200.552001953125,8712.661483154327,0.0401920124165962
2019-05,2019-05-31,0.0,100000.0,-859.201008441858,1943.2229058488883,-0.00835778939568843,-754.4593700478727,4355.202358174778,-0.007177830825853548,-6825.0,1887.6614831543266,-0.06278017580369444
2019-06,2019-06-28,0.0,100000.0,1993.3253800361272,3936.5482858850155,0.019553289794232542,1993.3253800361272,6348.527738210905,0.019101351298179692,6974.97199902343,8862.633482177756,0.06845747460968643
2019-07,2019-07-31,0.0,100000.0,577.4369348596956,4513.985220744711,0.00555566780293093,577.4369348596956,6925.964673070601,0.005429665526551775,1612.517333984375,10475.150816162131,0.014812404241978605
2019-08,2019-08-30,0.0,100000.0,-85.15006791157066,4428.8351528331405,-0.0008147241513345449,-85.15006791157066,6840.81460515903,-0.0007963460341170459,-1812.712890625,8662.437925537131,-0.016408331441351898
2019-09,2019-09-30,0.0,100000.0,694.2337200602778,5123.068872893418,0.006647912131206191,694.2337200602778,7535.048325219308,0.006497832524264169,2076.2475576171855,10738.685483154317,0.0191073161734141
2019-10,2019-10-31,0.0,100000.0,884.1846305646031,6007.253503458021,0.008410947663958668,884.1846305646031,8419.232955783911,0.008222292585860158,2387.839111328125,13126.524594482442,0.021562826946247338
2019-11,2019-11-29,0.0,100000.0,855.8430086651642,6863.096512123186,0.008073438188239246,855.8430086651642,9275.075964449075,0.0078938301381839,3996.723999023423,17123.248593505865,0.03532968075657128
2019-12,2019-12-31,0.0,100000.0,340.54983435443137,7203.646346477617,0.0031867861354346605,340.54983435443137,9615.625798803507,0.0031164456427856813,3319.67555664065,20442.924150146515,0.028343438185890246
