date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-01-02,100000.0,100000.0,0.0,268.769989,0.0,0.0,100000.0,CASH,100000.0,100000.0
2018-01-03,99990.988631,100068.283007,0.0,270.470001,77.294376,26600.0,73468.283007,SHORT_PUT,100632.404541,100170.001221
2018-01-04,100025.033318,100068.283007,0.0,271.609985,43.24969,26600.0,73468.283007,SHORT_PUT,101056.478638,100283.999634
2018-01-05,100046.781514,100068.283007,0.0,273.420013,21.501493,26600.0,73468.283007,SHORT_PUT,101729.809082,100465.002441
2018-01-08,100054.128746,100068.283007,0.0,273.920013,14.154261,26600.0,73468.283007,SHORT_PUT,101915.809082,100515.002441
2018-01-09,100056.669784,100068.283007,0.0,274.540009,11.613223,26600.0,73468.283007,SHORT_PUT,102146.447266,100577.001953
2018-01-10,100052.156871,100068.283007,0.0,274.119995,16.126136,26600.0,73468.283007,SHORT_PUT,101990.202271,100535.00061
2018-01-11,100062.545323,100068.283007,0.0,276.119995,5.737684,26600.0,73468.283007,SHORT_PUT,102734.202271,100735.00061
2018-01-12,100065.65904,100068.283007,0.0,277.920013,2.623967,26600.0,73468.283007,SHORT_PUT,103403.809082,100915.002441
2018-01-16,100065.72436,100068.283007,0.0,276.970001,2.558647,26600.0,73468.283007,SHORT_PUT,103050.404541,100820.001221
2018-01-17,100066.462066,100068.283007,0.0,279.609985,1.820941,26600.0,73468.283007,SHORT_PUT,104032.478638,101083.999634
2018-01-18,100066.303823,100068.283007,0.0,279.140015,1.979184,26600.0,73468.283007,SHORT_PUT,103857.649536,101037.002563
2018-01-19,100066.859458,100068.283007,0.0,280.410004,1.423549,26600.0,73468.283007,SHORT_PUT,104330.085449,101164.001465
2018-01-22,100067.278513,100068.283007,0.0,282.690002,1.004494,26600.0,73468.283007,SHORT_PUT,105178.244995,101392.001343
2018-01-23,100067.282395,100068.283007,0.0,283.290009,1.000613,26600.0,73468.283007,SHORT_PUT,105401.447266,101452.001953
2018-01-24,100067.282756,100068.283007,0.0,283.179993,1.000251,26600.0,73468.283007,SHORT_PUT,105360.521362,101441.000366
2018-01-25,100067.28289,100068.283007,0.0,283.299988,1.000117,26600.0,73468.283007,SHORT_PUT,105405.159546,101452.999878
2018-01-26,100067.283007,100068.283007,0.0,286.579987,1.0,26600.0,73468.283007,SHORT_PUT,106625.319092,101780.999756
2018-01-29,100067.283007,100068.283007,0.0,284.679993,1.0,26600.0,73468.283007,SHORT_PUT,105918.521362,101591.000366
2018-01-30,100067.283007,100068.283007,0.0,281.76001,1.0,26600.0,73468.283007,SHORT_PUT,104832.28772,101299.002075
2018-01-31,100067.283007,100068.283007,0.0,281.899994,1.0,26600.0,73468.283007,SHORT_PUT,104884.361816,101313.000488
2018-02-01,100067.283007,100068.283007,0.0,281.579987,1.0,26600.0,73468.283007,SHORT_PUT,104765.319092,101280.999756
2018-02-02,100068.283007,100068.283007,0.0,275.450012,0.0,0.0,100068.283007,CASH,102484.968628,100668.002319
2018-02-05,100068.283007,100068.283007,0.0,263.929993,0.0,0.0,100068.283007,CASH,98199.521362,99516.000366
2018-02-06,100017.857422,100530.001064,0.0,269.130005,512.143642,25900.0,74630.001064,SHORT_PUT,100133.925903,100036.001587
2018-02-07,100150.969778,100530.001064,0.0,267.670013,379.031287,25900.0,74630.001064,SHORT_PUT,99590.809082,99890.002441
2018-02-08,99794.33727,100530.001064,0.0,257.630005,735.663794,25900.0,74630.001064,SHORT_PUT,95855.925903,98886.001587
2018-02-09,99858.307207,100530.001064,0.0,261.5,671.693857,25900.0,74630.001064,SHORT_PUT,97295.564087,99273.001099
2018-02-12,100150.859619,100530.001064,0.0,265.339996,379.141446,25900.0,74630.001064,SHORT_PUT,98724.042725,99657.000732
