date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-02-09,99940.080095,100866.259729,0.0,261.5,926.179635,25600.0,75266.259729,SHORT_PUT,97295.564087,99273.001099
2018-02-12,100293.154702,100866.259729,0.0,265.339996,573.105028,25600.0,75266.259729,SHORT_PUT,98724.042725,99657.000732
2018-02-13,100437.471172,100866.259729,0.0,266.0,428.788557,25600.0,75266.259729,SHORT_PUT,98969.564087,99723.001099
2018-02-14,100569.215347,100866.259729,0.0,269.589996,297.044382,25600.0,75266.259729,SHORT_PUT,100305.042725,100082.000732
2018-02-15,100768.209172,100866.259729,0.0,273.029999,98.050557,25600.0,75266.259729,SHORT_PUT,101584.723633,100426.000977
2018-02-16,100778.491645,100866.259729,0.0,273.109985,87.768084,25600.0,75266.259729,SHORT_PUT,101614.478638,100433.999634
2018-02-20,100783.280526,100866.259729,0.0,271.399994,82.979203,25600.0,75266.259729,SHORT_PUT,100978.361816,100263.000488
2018-02-21,100756.732176,100866.259729,0.0,270.049988,109.527554,25600.0,75266.259729,SHORT_PUT,100476.159546,100127.999878
2018-02-22,100780.075245,100866.259729,0.0,270.399994,86.184484,25600.0,75266.259729,SHORT_PUT,100606.361816,100163.000488
2018-02-23,100838.743932,100866.259729,0.0,274.709991,27.515797,25600.0,75266.259729,SHORT_PUT,102209.680908,100594.000244
2018-02-26,100862.772781,100866.259729,0.0,277.899994,3.486949,25600.0,75266.259729,SHORT_PUT,103396.361816,100913.000488
2018-02-27,100861.491496,100866.259729,0.0,274.429993,4.768233,25600.0,75266.259729,SHORT_PUT,102105.521362,100566.000366
2018-02-28,100848.48914,100866.259729,0.0,271.649994,17.770589,25600.0,75266.259729,SHORT_PUT,101071.361816,100288.000488
2018-03-01,100819.750928,100866.259729,0.0,267.700012,46.508801,25600.0,75266.259729,SHORT_PUT,99601.968628,99893.002319
2018-03-02,100823.343281,100866.259729,0.0,269.079987,42.916448,25600.0,75266.259729,SHORT_PUT,100115.319092,100030.999756
2018-03-05,100863.947193,100866.259729,0.0,272.190002,2.312536,25600.0,75266.259729,SHORT_PUT,101272.244995,100342.001343
2018-03-06,100865.13473,100866.259729,0.0,272.880005,1.124999,25600.0,75266.259729,SHORT_PUT,101528.925903,100411.001587
2018-03-07,100865.254893,100866.259729,0.0,272.779999,1.004836,25600.0,75266.259729,SHORT_PUT,101491.723633,100401.000977
2018-03-08,100865.259729,100866.259729,0.0,274.100006,1.0,25600.0,75266.259729,SHORT_PUT,101982.766357,100533.001709
2018-03-09,100866.259729,100866.259729,0.0,278.869995,0.0,0.0,100866.259729,CASH,103757.202271,101010.00061
2018-03-12,100866.259729,100866.259729,0.0,278.519989,0.0,0.0,100866.259729,CASH,103627.0,100975.0
