date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2018-01-02,SIGNAL,P,266.0,2018-02-02,0.0,100000.0,0.0,,,,,,
2018-01-03,SELL_PUT,P,266.0,2018-02-02,68.283007,100068.283007,0.0,0.68933,0.65,2018-01-02,0.69933,0.772944,
2018-02-02,EXPIRED,P,266.0,2018-02-02,0.0,100068.283007,0.0,,,,,,
2018-02-05,SIGNAL,P,259.0,2018-03-09,0.0,100068.283007,0.0,,,,,,
2018-02-06,SELL_PUT,P,259.0,2018-03-09,461.718057,100530.001064,0.0,4.623681,0.65,2018-02-05,4.633681,5.121436,
2018-03-09,EXPIRED,P,259.0,2018-03-09,0.0,100530.001064,0.0,,,,,,
2018-03-12,SIGNAL,P,274.0,2018-04-13,0.0,100530.001064,0.0,,,,,,
2018-03-13,SELL_PUT,P,274.0,2018-04-13,255.296504,100785.297568,0.0,2.559465,0.65,2018-03-12,2.569465,2.839935,
2018-04-13,PUT_ASSIGNED,P,274.0,2018-04-13,-27400.0,73385.297568,100.0,,,,,,
2018-04-16,SIGNAL,C,274.0,2018-05-18,0.0,73385.297568,100.0,,,,,,
2018-04-17,SELL_CALL,C,274.0,2018-05-18,250.282652,73635.58022,100.0,2.509327,0.65,2018-04-16,2.519327,2.784519,
2018-05-18,EXPIRED,C,274.0,2018-05-18,0.0,73635.58022,100.0,,,,,,
2018-05-21,SIGNAL,C,278.0,2018-06-22,0.0,73635.58022,100.0,,,,,,
2018-05-22,SELL_CALL,C,278.0,2018-06-22,130.841267,73766.421487,100.0,1.314913,0.65,2018-05-21,1.324913,1.464377,
2018-06-15,DIVIDEND,,,,124.6,73891.021487,100.0,,,,,,
2018-06-22,EXPIRED,C,278.0,2018-06-22,0.0,73891.021487,100.0,,,,,,
2018-06-25,SIGNAL,C,276.0,2018-07-27,0.0,73891.021487,100.0,,,,,,
2018-06-26,SELL_CALL,C,276.0,2018-07-27,249.931288,74140.952775,100.0,2.505813,0.65,2018-06-25,2.515813,2.780635,
2018-07-27,CALL_ASSIGNED,C,276.0,2018-07-27,27600.0,101740.952775,0.0,,,,,,
2018-07-30,SIGNAL,P,276.0,2018-08-31,0.0,101740.952775,0.0,,,,,,
2018-07-31,SELL_PUT,P,276.0,2018-08-31,144.812103,101885.764878,0.0,1.454621,0.65,2018-07-30,1.464621,1.618792,
2018-08-31,EXPIRED,P,276.0,2018-08-31,0.0,101885.764878,0.0,,,,,,
2018-09-04,SIGNAL,P,286.0,2018-10-05,0.0,101885.764878,0.0,,,,,,
2018-09-05,SELL_PUT,P,286.0,2018-10-05,192.366017,102078.130896,0.0,1.93016,0.65,2018-09-04,1.94016,2.144388,
2018-10-05,EXPIRED,P,286.0,2018-10-05,0.0,102078.130896,0.0,,,,,,
2018-10-08,SIGNAL,P,283.0,2018-11-09,0.0,102078.130896,0.0,,,,,,
2018-10-09,SELL_PUT,P,283.0,2018-11-09,209.363503,102287.494398,0.0,2.100135,0.65,2018-10-08,2.110135,2.332255,
2018-11-09,PUT_ASSIGNED,P,283.0,2018-11-09,-28300.0,73987.494398,100.0,,,,,,
2018-11-12,SIGNAL,C,279.0,2018-12-14,0.0,73987.494398,100.0,,,,,,
2018-11-13,SELL_CALL,C,279.0,2018-12-14,241.703065,74229.197463,100.0,2.423531,0.65,2018-11-12,2.433531,2.689692,
2018-12-14,EXPIRED,C,279.0,2018-12-14,0.0,74229.197463,100.0,,,,,,
2018-12-17,SIGNAL,C,263.0,2019-01-18,0.0,74229.197463,100.0,,,,,,
2018-12-18,SELL_CALL,C,263.0,2019-01-18,270.995432,74500.192895,100.0,2.716454,0.65,2018-12-17,2.726454,3.01345,
2018-12-21,DIVIDEND,,,,143.5,74643.692895,100.0,,,,,,
2019-01-18,CALL_ASSIGNED,C,263.0,2019-01-18,26300.0,100943.692895,0.0,,,,,,
2019-01-22,SIGNAL,P,258.0,2019-02-22,0.0,100943.692895,0.0,,,,,,
2019-01-23,SELL_PUT,P,258.0,2019-02-22,248.988541,101192.681436,0.0,2.496385,0.65,2019-01-22,2.506385,2.770215,
2019-02-22,EXPIRED,P,258.0,2019-02-22,0.0,101192.681436,0.0,,,,,,
2019-02-25,SIGNAL,P,275.0,2019-03-29,0.0,101192.681436,0.0,,,,,,
2019-02-26,SELL_PUT,P,275.0,2019-03-29,184.228764,101376.9102,0.0,1.848788,0.65,2019-02-25,1.858788,2.054449,
2019-03-29,EXPIRED,P,275.0,2019-03-29,0.0,101376.9102,0.0,,,,,,
2019-04-01,SIGNAL,P,281.0,2019-05-03,0.0,101376.9102,0.0,,,,,,
2019-04-02,SELL_PUT,P,281.0,2019-05-03,141.592873,101518.503073,0.0,1.422429,0.65,2019-04-01,1.432429,1.583211,
2019-05-03,EXPIRED,P,281.0,2019-05-03,0.0,101518.503073,0.0,,,,,,
2019-05-06,SIGNAL,P,289.0,2019-06-07,0.0,101518.503073,0.0,,,,,,
2019-05-07,SELL_PUT,P,289.0,2019-06-07,428.817498,101947.320571,0.0,4.294675,0.65,2019-05-06,4.304675,4.757799,
2019-06-07,PUT_ASSIGNED,P,289.0,2019-06-07,-28900.0,73047.320571,100.0,,,,,,
2019-06-10,SIGNAL,C,295.0,2019-07-12,0.0,73047.320571,100.0,,,,,,
2019-06-11,SELL_CALL,C,295.0,2019-07-12,190.862653,73238.183223,100.0,1.915127,0.65,2019-06-10,1.925127,2.127771,
2019-06-21,DIVIDEND,,,,143.2,73381.383223,100.0,,,,,,
2019-07-12,CALL_ASSIGNED,C,295.0,2019-07-12,29500.0,102881.383223,0.0,,,,,,
2019-07-15,SIGNAL,P,297.0,2019-08-16,0.0,102881.383223,0.0,,,,,,
2019-07-16,SELL_PUT,P,297.0,2019-08-16,205.991864,103087.375088,0.0,2.066419,0.65,2019-07-15,2.076419,2.294989,
2019-08-16,PUT_ASSIGNED,P,297.0,2019-08-16,-29700.0,73387.375088,100.0,,,,,,
2019-08-19,SIGNAL,C,300.0,2019-09-20,0.0,73387.375088,100.0,,,,,,
2019-08-20,SELL_CALL,C,300.0,2019-09-20,124.048428,73511.423516,100.0,1.246984,0.65,2019-08-19,1.256984,1.389298,
2019-09-20,DIVIDEND,,,,138.4,73649.823516,100.0,,,,,,
2019-09-20,EXPIRED,C,300.0,2019-09-20,0.0,73649.823516,100.0,,,,,,
2019-09-23,SIGNAL,C,304.0,2019-10-25,0.0,73649.823516,100.0,,,,,,
2019-09-24,SELL_CALL,C,304.0,2019-10-25,127.657693,73777.481209,100.0,1.283077,0.65,2019-09-23,1.293077,1.42919,
2019-10-25,EXPIRED,C,304.0,2019-10-25,0.0,73777.481209,100.0,,,,,,
2019-10-28,SIGNAL,C,309.0,2019-11-29,0.0,73777.481209,100.0,,,,,,
2019-10-29,SELL_CALL,C,309.0,2019-11-29,151.448133,73928.929342,100.0,1.520981,0.65,2019-10-28,1.530981,1.692137,
2019-11-29,CALL_ASSIGNED,C,309.0,2019-11-29,30900.0,104828.929342,0.0,,,,,,
2019-12-02,SIGNAL,P,307.0,2020-01-03,0.0,104828.929342,0.0,,,,,,
2019-12-03,SELL_PUT,P,307.0,2020-01-03,281.870328,105110.79967,0.0,2.825203,0.65,2019-12-02,2.835203,3.133646,
2020-01-03,EXPIRED,P,307.0,2020-01-03,0.0,105110.79967,0.0,,,,,,
2020-01-06,SIGNAL,P,319.0,2020-02-07,0.0,105110.79967,0.0,,,,,,
2020-01-07,SELL_PUT,P,319.0,2020-02-07,226.984769,105337.784439,0.0,2.276348,0.65,2020-01-06,2.286348,2.527016,
2020-02-07,EXPIRED,P,319.0,2020-02-07,0.0,105337.784439,0.0,,,,,,
2020-02-10,SIGNAL,P,329.0,2020-03-13,0.0,105337.784439,0.0,,,,,,
2020-02-11,SELL_PUT,P,329.0,2020-03-13,193.968533,105531.752972,0.0,1.946185,0.65,2020-02-10,1.956185,2.1621,
2020-03-13,PUT_ASSIGNED,P,329.0,2020-03-13,-32900.0,72631.752972,100.0,,,,,,
2020-03-16,SIGNAL,C,260.0,2020-04-17,0.0,72631.752972,100.0,,,,,,
2020-03-17,SELL_CALL,C,260.0,2020-04-17,1554.132127,74185.885099,100.0,15.547821,0.65,2020-03-16,15.557821,17.195487,
2020-03-20,DIVIDEND,,,,140.6,74326.485099,100.0,,,,,,
2020-04-17,CALL_ASSIGNED,C,260.0,2020-04-17,26000.0,100326.485099,0.0,,,,,,
2020-04-20,SIGNAL,P,270.0,2020-05-22,0.0,100326.485099,0.0,,,,,,
